step= 116,736 | ep=   456 | lvl=easy   | ph=B cbs=0.96 | rew=-1.750 | goals=5.6 | coll=29.8 | pol=-0.0058 | val=0.3240 | ent=0.956 | 161 sps
step= 118,784 | ep=   464 | lvl=easy   | ph=B cbs=0.95 | rew=-1.746 | goals=5.8 | coll=32.3 | pol=-0.0044 | val=0.3054 | ent=0.806 | 161 sps
step= 120,832 | ep=   472 | lvl=easy   | ph=B cbs=0.95 | rew=-1.760 | goals=5.9 | coll=34.5 | pol=-0.0058 | val=0.1416 | ent=0.841 | 161 sps
step= 122,880 | ep=   480 | lvl=medium | ph=B cbs=0.94 | rew=-1.740 | goals=6.6 | coll=45.9 | pol=-0.0049 | val=0.0791 | ent=1.000 | 160 sps
step= 124,928 | ep=   488 | lvl=medium | ph=B cbs=0.94 | rew=-1.769 | goals=7.2 | coll=55.1 | pol=-0.0069 | val=0.0363 | ent=0.954 | 160 sps
step= 126,976 | ep=   496 | lvl=medium | ph=B cbs=0.93 | rew=-1.741 | goals=7.7 | coll=62.0 | pol=-0.0071 | val=0.1020 | ent=0.937 | 159 sps
step= 129,024 | ep=   504 | lvl=medium | ph=B cbs=0.93 | rew=-1.834 | goals=8.1 | coll=66.7 | pol=-0.0057 | val=0.2209 | ent=1.118 | 159 sps
step= 131,072 | ep=   512 | lvl=medium | ph=B cbs=0.92 | rew=-1.886 | goals=8.6 | coll=77.4 | pol=-0.0035 | val=0.2684 | ent=1.030 | 159 sps
step= 133,120 | ep=   520 | lvl=medium | ph=B cbs=0.92 | rew=-1.637 | goals=9.2 | coll=77.4 | pol=-0.0036 | val=0.0407 | ent=1.080 | 158 sps
step= 135,168 | ep=   528 | lvl=medium | ph=B cbs=0.91 | rew=-1.347 | goals=10.9 | coll=90.1 | pol=-0.0085 | val=0.0484 | ent=1.173 | 158 sps
step= 137,216 | ep=   536 | lvl=hard   | ph=B cbs=0.91 | rew=-1.068 | goals=12.9 | coll=115.4 | pol=-0.0050 | val=0.0692 | ent=1.065 | 157 sps
